lat, lon, val
38.49565,-121.40564,204
38.45942,-121.41656,45
38.47319,-121.41788,871
38.50596,-121.43427,8
38.5129624069,-121.436006494,238
38.5023398,-121.4318766,579
38.40923,-121.41942,14
38.5674,-121.4857,2114
38.47319,-121.41788,13
38.4947212,-121.4569027,163
38.4647487905,-121.493373696,35
38.53253,-121.34759,73
38.4392,-121.41898,608
38.5616759679,-121.493236939,3324
38.502043,-121.427971,845
38.4956022362,-121.435228934,150
38.4950174766,-121.409754745,169
38.45527,-121.40275,173
38.5391234,-121.4345749,30
38.4236649,-121.417463,711
38.5682487488,-121.436416626,1074
38.4545943549,-121.370089006,31
38.4954223633,-121.436035156,403
38.5466251,-121.4387646,671
38.4649488942,-121.371152825,118
38.4744349,-121.4307154,345
38.520403,-121.440699,452
38.5083279379,-121.434659863,102
38.438625,-121.372879,90
38.4957514652,-121.410744265,52
38.424879,-121.448646,719
38.5087866336,-121.435145661,885
38.500909,-121.432489,1241
38.4964,-121.45635,305
38.46632,-121.49103,24
38.4084672,-121.3808449,711
38.5687015706,-121.497104892,1021
38.53502,-121.49429,150
38.4727826753,-121.448355102,313
38.50958,-121.38993,62
38.4744449,-121.4276049,72
38.5616326605,-121.470330987,1155
38.47468,-121.42911,131
38.4236649,-121.4174104,199
38.4092413,-121.3695846,497
38.52687,-121.40872,1432
38.4707794189,-121.4165802,307
41.4210557,-122.3843621,429
41.42174,-122.38595,227
41.4236524701,-122.384487391,5
41.41567,-122.38351,28
41.42073,-122.38459,102
41.416053,-122.387038,168
41.4230079086,-122.388960655,14
41.42216,-122.38788,56
41.4232749939,-122.388053894,14
41.4232211,-122.3844875,19
41.4222755432,-122.385810852,5
41.42204,-122.38725,16
41.4213523865,-122.385253906,2
41.47545,-122.35509,3
39.8087730408,-120.474479675,16
39.7801136273,-120.615381393,32
39.790913,-120.654477,72
39.781127,-120.613712,81
39.78088,-120.61713,72
39.7683044656,-120.619690418,32
39.8110039194,-120.467741948,50
39.784235,-120.6345,59
39.8111667075,-120.466547049,38
39.780101,-120.615707,30
39.778818,-120.614498,58
39.7427,-120.5811,7
39.7749673845,-120.620194674,97
39.715007782,-120.553718567,8
39.7618140966,-120.695275068,30
39.768727,-120.524632,13
39.589821367,-120.366831942,36
39.81013,-120.46941,20
39.7667211029,-120.618810654,33
39.7661481862,-120.61841643,10
39.8695828,-120.7057601,51
39.7712635799,-120.620390794,42
39.8061496764,-120.469611436,11
39.618270874,-120.592407227,22
39.7822586738,-120.620455502,5
39.7517089844,-120.619918823,3
39.7681828987,-120.619262565,12
39.769,-120.524454,6
39.8052541685,-120.46996,7
39.81207,-120.46562,5
39.811416626,-120.467735291,30
39.80626,-120.46893,23
39.8105007409,-120.470332479,10
39.8111115,-120.4672546,4
39.7834185403,-120.620143712,1
39.809173584,-120.472351074,18
39.7618965702,-120.609894991,20
39.8112725104,-120.468146615,2
39.8097610474,-120.470611572,9
39.7722149,-120.5243247,7
39.8106307983,-120.467903137,1
39.81074,-120.46981,6
39.87091,-120.7072,1
39.8041061266,-120.471424675,2
39.80635,-120.46862,3
39.8100852966,-120.469589233,1
38.0093040466,-122.09903717,137
38.0182495262,-122.134781802,35
37.9931475817,-122.099342144,49
37.99346,-122.10241,127
37.996819,-122.107941,194
38.0167624969,-122.137467344,361
37.94643,-122.06213,34
37.994348,-122.1190118,37
37.9826891187,-122.015538812,273
38.05629462,-122.165350914,271
38.01744,-122.1358,357
37.9736754,-122.0579046,51
37.9743378,-122.0584863,165
37.94556,-122.05376,22
38.0089622518,-122.097776681,10
37.97185,-122.0645,489
38.009070501,-122.098154444,16
38.0165114525,-122.137832556,165
37.9716392891,-122.065533177,110
37.980899,-122.068382,341
38.01829,-122.13687,27
38.01665,-122.13816,521
38.01109,-122.10449,58
38.01263,-122.12077,165
37.992721,-122.120334,210
37.9691211027,-122.056010664,855
38.0166765,-122.1379086,193
37.9619,-122.06121,14
37.97199,-122.06528,32
38.01207,-122.11048,111
38.01867,-122.13579,111
38.0470637977,-122.160467952,309
38.01706,-122.13489,285
